排名,百分位段,院校名称,博士点,重点学科,总分
47,前25%,山西大学,nan,nan,76
52,前25%,新疆大学,nan,nan,70
89,前50%,郑州大学,nan,nan,28
111,前50%,云南大学,nan,nan,18
137,前50%,广西大学,nan,nan,13
137,前50%,河北大学,nan,nan,13
