2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
44,92.0,前25%,郑州大学,nan,nan,86
77,89.0,前50%,山西大学,nan,nan,41
89,nan,前50%,广西大学,nan,nan,35
102,76.0,前50%,南昌大学,nan,nan,28
