排名,百分位段,院校名称,博士点,重点学科,总分
76,前50%,南昌大学,nan,nan,36
89,前50%,山西大学,nan,nan,30
92,前50%,郑州大学,nan,nan,28
100,前50%,内蒙古大学,nan,nan,24
100,前50%,云南大学,nan,nan,24
