排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,浙江大学,,,920
2,前5%,南京农业大学,,,665
3,前10%,中国农业大学,,,644
4,前10%,西北农林科技大学,,,482
5,前25%,东北农业大学,,,340
6,前25%,贵州大学,,,289
7,前25%,华中农业大学,,,231
8,前25%,湖南农业大学,,,192
9,前25%,福建农林大学,,,168
10,前25%,云南农业大学,,,111
11,前25%,华南农业大学,,,97
12,前50%,西南大学,,,63
13,前50%,青岛农业大学,,,61
14,前50%,安徽农业大学,,,55
15,前50%,沈阳农业大学,,,43
16,前50%,四川农业大学,,,40
17,前50%,河北农业大学,,,39
17,前50%,扬州大学,,,39
19,前50%,山东农业大学,,,34
20,前50%,河南农业大学,,,32
21,前50%,南开大学,,,27
22,前50%,长江大学,,,26
