应用经济学,C+
法学,B
政治学,C
马克思主义理论,B+
体育学,C+
中国语言文学,C+
外国语言文学,B-
新闻传播学,B
考古学,B+
中国史,B-
世界史,C+
数学,B
物理学,B-
化学,B+
生物学,C
统计学,C
力学,C
机械工程,C
材料科学与工程,B+
动力工程及工程热物理,C+
电气工程,C
电子科学与技术,C-
信息与通信工程,C+
控制科学与工程,C+
计算机科学与技术,C+
建筑学,C-
土木工程,B
水利工程,B+
化学工程与技术,B+
环境科学与工程,C
城乡规划学,C-
软件工程,B
安全科学与工程,C-
基础医学,B-
临床医学,B
公共卫生与预防医学,C+
药学,B
护理学,C+
管理科学与工程,C
工商管理,C+
公共管理,B+
图书情报与档案管理,B-
音乐与舞蹈学,C-
