排名,百分位段,院校名称,博士点,重点学科,总分
19,前25%,南昌大学,nan,nan,162
20,前25%,新疆大学,nan,nan,154
21,前25%,郑州大学,nan,nan,151
30,前50%,河北大学,nan,nan,109
34,前50%,内蒙古大学,nan,nan,104
