2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
19,20.0,前25%,新疆大学,nan,nan,182
21,21.0,前25%,郑州大学,nan,nan,168
23,19.0,前25%,南昌大学,nan,nan,156
32,30.0,前50%,河北大学,nan,nan,109
54,nan,前50%,云南大学,nan,nan,66
