排名,百分位段,院校名称,博士点,重点学科,总分
36,前25%,郑州大学,nan,nan,145
56,前50%,山西大学,nan,nan,86
62,前50%,南昌大学,nan,nan,79
75,前50%,河北大学,nan,nan,61
92,前50%,贵州大学,nan,nan,44
