排名,百分位段,院校名称*,博士点,重点学科,总分
1,前10%,苏州大学,,,582
2,前25%,中山大学,,,531
3,前25%,四川大学,,,332
4,前50%,南方医科大学,,,300
5,前50%,第四军医大学,,,290
6,前50%,第二军医大学,,,281
