2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
33,51.0,前25%,郑州大学,nan,nan,133
57,43.0,前25%,南昌大学,nan,nan,79
64,96.0,前50%,内蒙古大学,nan,nan,69
65,99.0,前50%,宁夏大学,nan,nan,68
80,nan,前50%,云南大学,nan,nan,54
103,89.0,前50%,广西大学,nan,nan,37
106,nan,前50%,海南大学,nan,nan,36
