排名,百分位段,院校名称,博士点,重点学科,总分
8,前10%,云南大学,nan,nan,437
30,前50%,山西大学,nan,nan,124
31,前50%,郑州大学,nan,nan,123
50,前50%,贵州大学,nan,nan,64
