2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
8,8.0,前10%,云南大学,nan,nan,505
30,31.0,前50%,郑州大学,nan,nan,143
36,30.0,前50%,山西大学,nan,nan,114
46,nan,前50%,新疆大学,nan,nan,87
54,nan,前50%,海南大学,nan,nan,67
