排名,百分位段,院校名称,博士点,重点学科,总分
74,前50%,河北大学,nan,nan,58
83,前50%,南昌大学,nan,nan,42
84,前50%,内蒙古大学,nan,nan,41
85,前50%,山西大学,nan,nan,40
92,前50%,郑州大学,nan,nan,35
110,前50%,广西大学,nan,nan,22
