排名,百分位段,院校名称,博士点,重点学科,总分
41,前25%,郑州大学,nan,nan,104
57,前25%,云南大学,nan,nan,77
68,前50%,南昌大学,nan,nan,55
81,前50%,河北大学,nan,nan,42
84,前50%,山西大学,nan,nan,38
91,前50%,广西大学,nan,nan,34
107,前50%,贵州大学,nan,nan,29
