2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
48,41.0,前25%,郑州大学,nan,nan,97
52,57.0,前25%,云南大学,nan,nan,86
63,68.0,前50%,南昌大学,nan,nan,67
84,84.0,前50%,山西大学,nan,nan,46
94,81.0,前50%,河北大学,nan,nan,40
99,91.0,前50%,广西大学,nan,nan,34
108,107.0,前50%,贵州大学,nan,nan,30
112,nan,前50%,石河子大学,nan,nan,28
