2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
26,16.0,前25%,云南大学,nan,nan,147
29,19.0,前25%,内蒙古大学,nan,nan,130
32,29.0,前50%,河北大学,nan,nan,116
38,42.0,前50%,广西大学,nan,nan,84
48,56.0,前50%,南昌大学,nan,nan,50
57,nan,前50%,山西大学,nan,nan,41
