2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
60,67.0,前25%,南昌大学,nan,nan,69
61,65.0,前25%,河北大学,nan,nan,68
73,94.0,前50%,广西大学,nan,nan,56
84,94.0,前50%,郑州大学,nan,nan,49
86,88.0,前50%,石河子大学,nan,nan,46
99,104.0,前50%,云南大学,nan,nan,37
127,102.0,前50%,海南大学,nan,nan,30
