排名,百分位段,院校名称,博士点,重点学科,总分
55,前25%,贵州大学,nan,nan,83
65,前50%,河北大学,nan,nan,66
67,前50%,南昌大学,nan,nan,65
88,前50%,石河子大学,nan,nan,50
94,前50%,广西大学,nan,nan,45
94,前50%,郑州大学,nan,nan,45
102,前50%,海南大学,nan,nan,42
104,前50%,云南大学,nan,nan,41
