排名,百分位段,院校名称,博士点,重点学科,总分
16,前25%,河北大学,nan,nan,349
21,前25%,云南大学,nan,nan,275
24,前25%,山西大学,nan,nan,253
32,前50%,郑州大学,nan,nan,162
41,前50%,内蒙古大学,nan,nan,120
50,前50%,南昌大学,nan,nan,95
55,前50%,宁夏大学,nan,nan,80
