排名,百分位段,院校名称,博士点,重点学科,总分
73,前50%,山西大学,nan,nan,46
87,前50%,郑州大学,nan,nan,26
94,前50%,南昌大学,nan,nan,23
94,前50%,新疆大学,nan,nan,23
