2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
4,5.0,前10%,云南大学,nan,nan,444
6,7.0,前25%,宁夏大学,nan,nan,396
9,9.0,前25%,西藏大学,nan,nan,264
12,11.0,前50%,新疆大学,nan,nan,239
16,12.0,前50%,内蒙古大学,nan,nan,172
