排名,百分位段,院校名称,博士点,重点学科,总分
5,前25%,云南大学,nan,nan,391
7,前25%,宁夏大学,nan,nan,318
9,前25%,西藏大学,nan,nan,264
11,前50%,新疆大学,nan,nan,255
12,前50%,内蒙古大学,nan,nan,192
