排名,百分位段,院校名称,博士点,重点学科,总分
27,前25%,郑州大学,nan,nan,95
41,前25%,海南大学,nan,nan,58
56,前50%,山西大学,nan,nan,44
61,前50%,云南大学,nan,nan,37
66,前50%,南昌大学,nan,nan,34
69,前50%,河北大学,nan,nan,31
75,前50%,新疆大学,nan,nan,23
80,前50%,宁夏大学,nan,nan,22
