排名,百分位段,院校名称,博士点,重点学科,总分
22,前25%,南昌大学,nan,nan,336
48,前25%,郑州大学,nan,nan,105
90,前50%,云南大学,nan,nan,34
96,前50%,广西大学,nan,nan,32
