2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
21,22.0,前10%,南昌大学,nan,nan,340
46,48.0,前25%,郑州大学,nan,nan,124
105,96.0,前50%,广西大学,nan,nan,31
