排名,百分位段,院校名称,博士点,重点学科,总分
37,前50%,云南大学,nan,nan,87
45,前50%,南昌大学,nan,nan,73
46,前50%,山西大学,nan,nan,70
55,前50%,广西大学,nan,nan,55
58,前50%,河北大学,nan,nan,52
