2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
31,37.0,前25%,云南大学,nan,nan,114
37,46.0,前50%,山西大学,nan,nan,85
59,45.0,前50%,南昌大学,nan,nan,49
62,58.0,前50%,河北大学,nan,nan,48
