2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
37,58.0,前50%,山西大学,nan,nan,43
39,36.0,前50%,郑州大学,nan,nan,42
63,nan,前50%,内蒙古大学,nan,nan,12
