排名,百分位段,院校名称,博士点,重点学科,总分
44,前25%,郑州大学,nan,nan,161
57,前25%,新疆大学,nan,nan,130
61,前25%,山西大学,nan,nan,121
66,前50%,云南大学,nan,nan,111
82,前50%,贵州大学,nan,nan,94
110,前50%,南昌大学,nan,nan,61
117,前50%,广西大学,nan,nan,53
