排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,中国农业大学,,,1520
2,前5%,华中农业大学,,,1135
3,前10%,西北农林科技大学,,,743
4,前10%,华南农业大学,,,718
5,前25%,浙江大学,,,638
6,前25%,南京农业大学,,,609
7,前25%,扬州大学,,,597
8,前25%,四川农业大学,,,565
9,前25%,吉林大学,,,419
10,前25%,河南农业大学,,,414
11,前50%,东北农业大学,,,284
12,前50%,吉林农业大学,,,167
13,前50%,山东农业大学,,,163
14,前50%,河南科技大学,,,160
15,前50%,沈阳农业大学,,,142
16,前50%,湖南农业大学,,,96
17,前50%,黑龙江八一农垦大学,,,91
18,前50%,西南大学,,,88
19,前50%,青岛农业大学,,,84
20,前50%,安徽农业大学,,,71
21,前50%,福建农林大学,,,67
