2018排名,2017排名,百分位段,院校名称,博士点,重点学科,总分
14,45.0,前5%,新疆大学,nan,nan,189
42,22.0,前25%,郑州大学,nan,nan,77
44,92.0,前25%,广西大学,nan,nan,73
64,51.0,前25%,贵州大学,nan,nan,55
73,49.0,前25%,南昌大学,nan,nan,45
73,73.0,前25%,宁夏大学,nan,nan,45
73,87.0,前25%,石河子大学,nan,nan,45
85,123.0,前25%,青海大学,nan,nan,41
107,92.0,前50%,海南大学,nan,nan,32
112,123.0,前50%,山西大学,nan,nan,27
112,nan,前50%,西藏大学,nan,nan,27
112,123.0,前50%,云南大学,nan,nan,27
142,123.0,前50%,内蒙古大学,nan,nan,22
