排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,东华大学,,,1250
2,前10%,浙江理工大学,,,572
3,前25%,苏州大学,,,506
4,前25%,江南大学,,,228
5,前25%,天津工业大学,,,218
6,前50%,南通大学,,,211
7,前50%,武汉纺织大学,,,106
8,前50%,四川大学,,,90
9,前50%,西安工程大学,,,36
10,前50%,上海工程技术大学,,,20
